0.0000,0.0000,3801,b'Blue',b'The Hub'
33.7873,-84.4056,3802,b'Blue',b'The Hub'
33.7873,-84.4057,3907,b'Blue',b'The Hub'
33.7873,-84.4057,3937,b'Blue',b'The Hub'
33.7873,-84.4056,4146,b'Blue',b'The Hub'
33.7872,-84.4056,4246,b'Blue',b'The Hub'
33.7873,-84.4057,4357,b'Blue',b'The Hub'
33.7873,-84.4058,4410,b'Blue',b'The Hub'
33.7873,-84.4057,4419,b'Blue',b'The Hub'
33.7872,-84.4054,4439,b'Blue',b'The Hub'
33.7872,-84.4054,4622,b'Blue',b'The Hub'
33.7871,-84.4053,4634,b'Blue',b'The Hub'
33.7871,-84.4053,4652,b'Blue',b'The Hub'
33.7863,-84.4053,4720,b'Blue',b'The Hub'
33.7863,-84.4053,4732,b'Blue',b'The Hub'
33.7860,-84.4069,4802,b'Blue',b'The Hub'
33.7834,-84.4054,4832,b'Blue',b'The Hub'
33.7818,-84.4043,4856,b'Blue',b'The Hub'
33.7817,-84.4044,4930,b'Blue',b'The Hub'
33.7817,-84.4044,4933,b'Blue',b'The Hub'
33.7817,-84.4044,4935,b'Blue',b'The Hub'
33.7798,-84.4027,5005,b'Blue',b'The Hub'
33.7780,-84.4019,5035,b'Blue',b'The Hub'
33.7772,-84.4031,5105,b'Blue',b'The Hub'
33.7778,-84.4042,5135,b'Blue',b'The Hub'
33.7783,-84.4042,5149,b'Blue',b'The Hub'
33.7783,-84.4042,5150,b'Blue',b'The Hub'
33.7783,-84.4041,5319,b'Blue',b'The Hub'
33.7783,-84.4041,5328,b'Blue',b'The Hub'
33.7783,-84.4042,5332,b'Blue',b'The Hub'
33.7783,-84.4042,5336,b'Blue',b'The Hub'
33.7795,-84.4043,5406,b'Blue',b'The Hub'
33.7796,-84.4030,5431,b'Blue',b'The Hub'
33.7796,-84.4029,5434,b'Blue',b'The Hub'
33.7796,-84.4029,5442,b'Blue',b'The Hub'
33.7796,-84.4029,5445,b'Blue',b'The Hub'
33.7786,-84.4015,5515,b'Blue',b'The Hub'
33.7772,-84.4026,5545,b'Blue',b'The Hub'
33.7752,-84.4028,5615,b'Blue',b'The Hub'
33.7751,-84.4028,5617,b'Blue',b'The Hub'
33.7751,-84.4028,5620,b'Blue',b'The Hub'
33.7752,-84.4026,5631,b'Blue',b'The Hub'
33.7752,-84.4026,5643,b'Blue',b'The Hub'
33.7739,-84.4019,5713,b'Blue',b'The Hub'
33.7733,-84.3986,5743,b'Blue',b'The Hub'
33.7729,-84.3971,5805,b'Blue',b'The Hub'
33.7729,-84.3971,5807,b'Blue',b'The Hub'
33.7732,-84.3970,5817,b'Blue',b'The Hub'
33.7732,-84.3970,5822,b'Blue',b'The Hub'
33.7732,-84.3970,5826,b'Blue',b'The Hub'
33.7732,-84.3970,5828,b'Blue',b'The Hub'
33.7728,-84.3971,5858,b'Blue',b'The Hub'
33.7723,-84.3957,5926,b'Blue',b'The Hub'
