Latitude,Longitude  ,_Time_,Route,WhichBusStop
33.775269,-84.396103,13837,Blue,
33.77552,-84.395119,13907,Blue,
33.775909,-84.393944,13935,Blue,
33.775909,-84.393944,13937,Blue,
33.77515,-84.392174,14007,Blue,
33.774929,-84.392029,14020,Blue,
33.774921,-84.392029,14022,Blue,
33.774921,-84.392029,14037,Blue,
33.774921,-84.392029,14039,Blue,
33.773151,-84.391998,14109,Blue,
33.771488,-84.39212,14128,Blue,
33.771469,-84.39212,14130,Blue,
33.771461,-84.392082,14147,Blue,
33.771461,-84.39209,14149,Blue,
33.771332,-84.394798,14219,Blue,
33.771938,-84.395477,14249,Blue,
33.772209,-84.395493,14256,Blue,
33.772251,-84.395554,14302,Blue,
33.772751,-84.397049,14332,Blue,
33.77317,-84.396973,14349,Blue,
33.773178,-84.396973,14352,Blue,
33.77317,-84.396973,14357,Blue,
33.77317,-84.396973,14359,Blue,
33.772869,-84.397087,14429,Blue,
33.773521,-84.400002,14459,Blue,
33.774181,-84.402229,14523,Blue,
33.77417,-84.402222,14553,Blue,
33.77417,-84.402229,14622,Blue,
33.77504,-84.402397,14646,Blue,
33.775082,-84.402412,14650,Blue,
33.77507,-84.402397,14708,Blue,
33.775089,-84.402412,14712,Blue,
33.77639,-84.402512,14742,Blue,
33.77726,-84.403137,14812,Blue,
33.77784,-84.404243,14842,Blue,
33.778221,-84.404198,14853,Blue,
33.778221,-84.404198,14854,Blue,
33.778252,-84.404213,15300,Blue,
33.778259,-84.404198,15305,Blue,
33.779549,-84.404213,15335,Blue,
33.779598,-84.402969,15401,Blue,
33.779591,-84.402908,15404,Blue,
33.779701,-84.402939,15421,Blue,
33.779701,-84.402931,15425,Blue,
33.77874,-84.401649,15455,Blue,
33.776958,-84.402481,15525,Blue,
33.77523,-84.402641,15551,Blue,
33.775169,-84.402641,15554,Blue,
33.7752,-84.402634,15608,Blue,
33.775188,-84.402634,15610,Blue,
33.77449,-84.402527,15635,Blue,
33.77449,-84.402527,15650,Blue,
33.773499,-84.399803,15720,Blue,
33.7729,-84.39711,15750,Blue,
33.77317,-84.396973,15801,Blue,
33.773239,-84.39698,15804,Blue,
33.773251,-84.396988,15818,Blue,
33.773251,-84.396988,15819,Blue,
33.772781,-84.397141,15849,Blue,
33.77195,-84.395569,15919,Blue,
33.771301,-84.3936,15949,Blue,
33.77177,-84.391968,20019,Blue,
33.771809,-84.39196,20019,Blue,
33.771851,-84.39196,20022,Blue,
33.771832,-84.391991,20048,Blue,
33.771832,-84.391991,20050,Blue,
